#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
281_RNODE_10_length_143244_46,445686.E3SL70_9CAUD,3.51E-162,475.0,"4QB5I@10239|Viruses,4QUT2@35237|dsDNA viruses  no RNA stage,4QPQ9@28883|Caudovirales,4QI9F@10662|Myoviridae",10662|Myoviridae,S,"Type III restriction enzyme, res subunit",-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_49,444860.E3SJ15_9CAUD,1.14E-37,135.0,"4QAQQ@10239|Viruses,4QVZX@35237|dsDNA viruses  no RNA stage,4QPBX@28883|Caudovirales,4QIBM@10662|Myoviridae",10662|Myoviridae,S,T4-like virus tail tube protein gp19,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_50,445686.E3SL66_9CAUD,9.16E-188,538.0,"4QAJ5@10239|Viruses,4QUS9@35237|dsDNA viruses  no RNA stage,4QPY5@28883|Caudovirales,4QHUT@10662|Myoviridae",10662|Myoviridae,S,Major capsid protein Gp23,-,"GO:0005575,GO:0019012,GO:0019028,GO:0044423",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_51,445683.E3SK24_9CAUD,8.51E-41,155.0,"4QE33@10239|Viruses,4QXJ2@35237|dsDNA viruses  no RNA stage,4QT98@28883|Caudovirales,4QKJM@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_52,238854.Q5GQN2_BPSYP,4.25E-84,255.0,"4QAWI@10239|Viruses,4QW40@35237|dsDNA viruses  no RNA stage,4QPUX@28883|Caudovirales,4QINW@10662|Myoviridae",10662|Myoviridae,S,Pfam:Peptidase_S77,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_58,444862.E3SM21_9CAUD,1.68E-191,554.0,"4QBAK@10239|Viruses,4QY34@35237|dsDNA viruses  no RNA stage,4QQBQ@28883|Caudovirales,4QIQI@10662|Myoviridae",10662|Myoviridae,S,Bacteriophage T4-like capsid assembly protein (Gp20),-,"GO:0005575,GO:0019012",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_59,1079999.H8ZNA5_9CAUD,4.28E-37,134.0,"4QAQQ@10239|Viruses,4QVZX@35237|dsDNA viruses  no RNA stage,4QPBX@28883|Caudovirales,4QIBM@10662|Myoviridae",10662|Myoviridae,S,T4-like virus tail tube protein gp19,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_60,1283076.M1IP93_9CAUD,2.7E-192,564.0,"4QAZ6@10239|Viruses,4QUU8@35237|dsDNA viruses  no RNA stage,4QPHV@28883|Caudovirales,4QI4H@10662|Myoviridae",10662|Myoviridae,S,Phage tail sheath protein,-,"GO:0005575,GO:0019012,GO:0044423,GO:0098015,GO:0098027",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_61,1283076.M1ICR4_9CAUD,1.28E-226,643.0,"4QHDM@10239|Viruses,4QYV6@35237|dsDNA viruses  no RNA stage,4QRD0@28883|Caudovirales,4QI2W@10662|Myoviridae",10662|Myoviridae,S,Terminase-like family,-,"GO:0003674,GO:0003824,GO:0004518,GO:0005575,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016032,GO:0016043,GO:0016787,GO:0016788,GO:0019058,GO:0019068,GO:0019069,GO:0019072,GO:0019075,GO:0022607,GO:0032991,GO:0034641,GO:0043170,GO:0043493,GO:0044085,GO:0044237,GO:0044238,GO:0044403,GO:0044419,GO:0046483,GO:0046797,GO:0051704,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0098009,GO:1901360,GO:1902494,GO:1904949",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_62,754038.G8EXP0_9CAUD,1.31E-27,106.0,"4QAND@10239|Viruses,4QPBN@28883|Caudovirales,4QI03@10662|Myoviridae",10662|Myoviridae,S,Terminase DNA packaging enzyme,-,"GO:0005575,GO:0032991,GO:0043493",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_63,1283076.M1ICQ7_9CAUD,1.02E-66,216.0,"4QASK@10239|Viruses,4QVVS@35237|dsDNA viruses  no RNA stage,4QQFF@28883|Caudovirales,4QIHH@10662|Myoviridae",10662|Myoviridae,S,Pfam:T4-gp15_tss,-,"GO:0005575,GO:0019012",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_64,1589733.A0A0C5AAX8_9CAUD,1.03E-49,172.0,"4QDJF@10239|Viruses,4QR89@28883|Caudovirales,4QICF@10662|Myoviridae",10662|Myoviridae,S,Virus neck protein,-,"GO:0005575,GO:0019012",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_65,1357714.A0A067XRI9_9CAUD,1.22E-86,264.0,"4QCS3@10239|Viruses,4QY7T@35237|dsDNA viruses  no RNA stage,4QU2E@28883|Caudovirales,4QKJF@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_72,329726.AM1_2424,1.18E-22,97.8,"COG3128@1|root,COG3128@2|Bacteria",2|Bacteria,O,pkhd-type hydroxylase,-,-,-,ko:K07336,-,-,-,-,"ko00000,ko01000",-,-,-,2OG-FeII_Oxy_3
281_RNODE_10_length_143244_73,366394.Smed_5140,2.24E-53,179.0,"28Q4W@1|root,2ZCMZ@2|Bacteria,1MX8J@1224|Proteobacteria,2U0AB@28211|Alphaproteobacteria,4BCDN@82115|Rhizobiaceae",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_80,1125863.JAFN01000001_gene1263,1.51E-43,149.0,"2E8ZK@1|root,33394@2|Bacteria,1NFCZ@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_86,1540095.A0A0A0YP95_9CAUD,9.88E-18,94.0,"4QCR0@10239|Viruses,4QPFK@28883|Caudovirales,4QI4N@10662|Myoviridae",10662|Myoviridae,S,cell wall macromolecule catabolic process,-,"GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0009405,GO:0009987,GO:0016043,GO:0016787,GO:0016798,GO:0019012,GO:0022607,GO:0033922,GO:0042802,GO:0043933,GO:0044085,GO:0044403,GO:0044409,GO:0044411,GO:0044419,GO:0044423,GO:0051259,GO:0051260,GO:0051701,GO:0051704,GO:0051828,GO:0051830,GO:0061783,GO:0065003,GO:0070206,GO:0070207,GO:0071840,GO:0085027,GO:0098015,GO:0098025",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_90,444860.E3SIQ0_9CAUD,9.57E-117,345.0,"4QAJD@10239|Viruses,4QW4M@35237|dsDNA viruses  no RNA stage,4QQ7U@28883|Caudovirales,4QIAP@10662|Myoviridae",10662|Myoviridae,S,gp32 DNA binding protein like,-,"GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039686,GO:0039693,GO:0044403,GO:0044419,GO:0051704",-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_97,234267.Acid_6395,6.59E-16,82.4,"COG3751@1|root,COG3751@2|Bacteria",2|Bacteria,O,2OG-Fe(II) oxygenase superfamily,-,-,-,ko:K07394,-,-,-,-,ko00000,-,-,-,"2OG-FeII_Oxy_3,2OG-FeII_Oxy_4"
281_RNODE_10_length_143244_98,1246995.AFR_21710,9.07E-13,68.6,"COG2267@1|root,COG2267@2|Bacteria,2II1K@201174|Actinobacteria,4DJ4H@85008|Micromonosporales",201174|Actinobacteria,I,carboxylic ester hydrolase activity,-,-,-,-,-,-,-,-,-,-,-,-,"Abhydrolase_6,Glyoxalase"
281_RNODE_10_length_143244_99,247634.GPB2148_2578,9.05E-40,137.0,"COG3223@1|root,COG3223@2|Bacteria,1N0MS@1224|Proteobacteria,1S9SN@1236|Gammaproteobacteria,1J7BB@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,S,Phosphate-starvation-inducible E,-,-,-,ko:K13256,-,-,-,-,ko00000,-,-,-,PsiE
281_RNODE_10_length_143244_100,1249627.D779_1814,7.76E-36,130.0,"COG3773@1|root,COG3773@2|Bacteria,1MWX3@1224|Proteobacteria,1S73A@1236|Gammaproteobacteria,1WYN0@135613|Chromatiales",135613|Chromatiales,M,PFAM Cell wall hydrolase,-,-,-,-,-,-,-,-,-,-,-,-,Hydrolase_2
281_RNODE_10_length_143244_103,1493509.A0A0E3HNJ5_9CAUD,8.64E-38,138.0,"4QHG7@10239|Viruses,4QRS2@28883|Caudovirales,4QJ56@10662|Myoviridae",10662|Myoviridae,S,exonuclease activity,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_104,268747.Q58LA1_BPPRS,4.31E-68,218.0,"4QCHF@10239|Viruses,4QW57@35237|dsDNA viruses  no RNA stage,4QPIH@28883|Caudovirales,4QHVS@10662|Myoviridae",10662|Myoviridae,S,PhoH-like protein,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_106,1283076.M1HM36_9CAUD,8.72E-52,171.0,"4QCXM@10239|Viruses,4QZZ5@35237|dsDNA viruses  no RNA stage,4QT8U@28883|Caudovirales,4QJ27@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_107,1555202.A0A097EYG0_9CAUD,1.59E-48,164.0,"4QH9H@10239|Viruses,4QTW5@28883|Caudovirales,4QKJS@10662|Myoviridae",10662|Myoviridae,S,kinase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_109,488538.SAR116_2426,9.99E-31,111.0,"2ESM8@1|root,33K5T@2|Bacteria,1NIPR@1224|Proteobacteria,2UM1Z@28211|Alphaproteobacteria,4BT5Z@82117|unclassified Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_115,926550.CLDAP_28640,2.5E-75,240.0,"COG0540@1|root,COG0540@2|Bacteria,2G6GU@200795|Chloroflexi",200795|Chloroflexi,F,Belongs to the ATCase OTCase family,pyrB,"GO:0003674,GO:0003824,GO:0004070,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016741,GO:0016743,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.1.3.2,ko:K00609,"ko00240,ko00250,ko01100,map00240,map00250,map01100",M00051,R01397,"RC00064,RC02850","ko00000,ko00001,ko00002,ko01000",-,-,-,"OTCace,OTCace_N"
281_RNODE_10_length_143244_122,497321.C664_10068,5.46E-18,80.5,"COG0316@1|root,COG0316@2|Bacteria,1RHCW@1224|Proteobacteria,2VR2M@28216|Betaproteobacteria,2KWB8@206389|Rhodocyclales",206389|Rhodocyclales,C,Required for insertion of 4Fe-4S clusters,erpA,-,-,ko:K15724,-,-,-,-,ko00000,-,-,-,Fe-S_biosyn
281_RNODE_10_length_143244_131,484022.Fphi_0780,4.28E-43,152.0,"COG0167@1|root,COG0167@2|Bacteria,1MU7C@1224|Proteobacteria,1RMCP@1236|Gammaproteobacteria,461IC@72273|Thiotrichales",72273|Thiotrichales,F,Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor,pyrD,-,1.3.5.2,ko:K00254,"ko00240,ko01100,map00240,map01100",M00051,R01868,RC00051,"ko00000,ko00001,ko00002,ko01000",-,-,-,DHO_dh
281_RNODE_10_length_143244_136,868864.Dester_1377,2.64E-70,227.0,"COG1087@1|root,COG1087@2|Bacteria,2G3QB@200783|Aquificae",200783|Aquificae,M,Belongs to the NAD(P)-dependent epimerase dehydratase family,galE,-,5.1.3.2,ko:K01784,"ko00052,ko00520,ko01100,map00052,map00520,map01100","M00361,M00362,M00632","R00291,R02984",RC00289,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Epimerase,GDP_Man_Dehyd"
281_RNODE_10_length_143244_142,238854.Q5GQF2_BPSYP,9.45E-94,285.0,"4QAM2@10239|Viruses,4QV3W@35237|dsDNA viruses  no RNA stage,4QPGK@28883|Caudovirales,4QIRV@10662|Myoviridae",10662|Myoviridae,S,"5'-3' exonuclease, N-terminal resolvase-like domain",-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_145,1218084.BBJK01000061_gene4715,9.48E-85,265.0,"COG0438@1|root,COG0438@2|Bacteria,1PH94@1224|Proteobacteria,2WE2W@28216|Betaproteobacteria,1KBHS@119060|Burkholderiaceae",28216|Betaproteobacteria,M,Glycosyl transferases group 1,-,-,-,-,-,-,-,-,-,-,-,-,Glycos_transf_1
281_RNODE_10_length_143244_153,483219.LILAB_32550,2.25E-43,173.0,"COG2114@1|root,COG2114@2|Bacteria,1MV1V@1224|Proteobacteria,42SUQ@68525|delta/epsilon subdivisions,2WPIY@28221|Deltaproteobacteria,2Z0N9@29|Myxococcales",28221|Deltaproteobacteria,T,"Adenylyl- / guanylyl cyclase, catalytic domain",-,-,4.6.1.1,ko:K01768,"ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213",M00695,"R00089,R00434",RC00295,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Guanylate_cyc,HAMP"
281_RNODE_10_length_143244_158,1335760.ASTG01000015_gene3246,4.96E-62,206.0,"COG1462@1|root,COG1462@2|Bacteria,1MVZM@1224|Proteobacteria,2TRZG@28211|Alphaproteobacteria,2K2XJ@204457|Sphingomonadales",204457|Sphingomonadales,M,protein involved in formation of curli polymers,-,-,-,-,-,-,-,-,-,-,-,-,CsgG
281_RNODE_10_length_143244_167,998674.ATTE01000001_gene1884,1.08E-69,221.0,"COG1442@1|root,COG1442@2|Bacteria,1NJ1J@1224|Proteobacteria,1S14E@1236|Gammaproteobacteria",1236|Gammaproteobacteria,M,glycosyl transferase family 8,-,-,-,-,-,-,-,-,-,-,-,-,Glyco_transf_8
281_RNODE_10_length_143244_168,909663.KI867150_gene2141,2.32E-14,75.5,"COG0662@1|root,COG0662@2|Bacteria,1NESW@1224|Proteobacteria,43AWH@68525|delta/epsilon subdivisions,2WW1I@28221|Deltaproteobacteria,2MSKD@213462|Syntrophobacterales",28221|Deltaproteobacteria,G,Mannose-6-phosphate isomerase,-,-,-,-,-,-,-,-,-,-,-,-,MannoseP_isomer
281_RNODE_10_length_143244_170,111781.Lepto7376_4587,3.9E-25,100.0,"COG1525@1|root,COG1525@2|Bacteria",2|Bacteria,L,nuclease,-,-,3.1.31.1,ko:K01174,-,-,-,-,"ko00000,ko01000",-,-,-,"Ada_Zn_binding,Excalibur,SNase"
281_RNODE_10_length_143244_171,444862.E3SM97_9CAUD,2.47E-45,152.0,"4QAUK@10239|Viruses,4QWEQ@35237|dsDNA viruses  no RNA stage,4QQ1Z@28883|Caudovirales,4QIGD@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_173,1198232.CYCME_2339,1.35E-134,391.0,"COG3396@1|root,COG3396@2|Bacteria,1MVQ7@1224|Proteobacteria,1TA6N@1236|Gammaproteobacteria,4634I@72273|Thiotrichales",72273|Thiotrichales,S,Phenylacetic acid catabolic protein,-,-,1.14.13.149,ko:K02609,"ko00360,ko01120,map00360,map01120",-,R09838,RC02690,"ko00000,ko00001,ko01000",-,-,-,PaaA_PaaC
281_RNODE_10_length_143244_174,573569.F7308_1262,2.22E-203,573.0,"COG0208@1|root,COG0695@1|root,COG0208@2|Bacteria,COG0695@2|Bacteria,1MWUS@1224|Proteobacteria,1RMJC@1236|Gammaproteobacteria,45ZQV@72273|Thiotrichales",72273|Thiotrichales,F,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,-,-,1.17.4.1,"ko:K00526,ko:K03676","ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,"R02017,R02018,R02019,R02024",RC00613,"ko00000,ko00001,ko00002,ko01000,ko03110,ko03400",-,-,-,"Glutaredoxin,Ribonuc_red_sm"
281_RNODE_10_length_143244_175,484022.Fphi_1619,1.19E-308,855.0,"COG0209@1|root,COG0209@2|Bacteria,1MUJ8@1224|Proteobacteria,1RMPV@1236|Gammaproteobacteria,4606X@72273|Thiotrichales",72273|Thiotrichales,F,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,nrdA,-,1.17.4.1,ko:K00525,"ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,"R02017,R02018,R02019,R02024",RC00613,"ko00000,ko00001,ko00002,ko01000,ko03400",-,-,-,"ATP-cone,LAGLIDADG_3,Ribonuc_red_lgC,Ribonuc_red_lgN"
281_RNODE_10_length_143244_176,130081.XP_005702333.1,3.26E-58,191.0,"COG1351@1|root,2SRAF@2759|Eukaryota",2759|Eukaryota,F,Thymidylate synthase complementing protein,-,"GO:0003674,GO:0003824,GO:0006139,GO:0006220,GO:0006221,GO:0006231,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009157,GO:0009162,GO:0009165,GO:0009176,GO:0009177,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0019637,GO:0019692,GO:0032259,GO:0034641,GO:0034654,GO:0042083,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046073,GO:0046385,GO:0046483,GO:0050797,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.1.1.148,ko:K03465,"ko00240,ko00670,ko01100,map00240,map00670,map01100",-,R06613,"RC00022,RC00332","ko00000,ko00001,ko01000",-,-,-,Thy1
281_RNODE_10_length_143244_180,457405.FSDG_01290,2.63E-09,60.1,"2C4D9@1|root,31A0X@2|Bacteria,37AFK@32066|Fusobacteria",32066|Fusobacteria,S,Protein of unknown function (DUF1353),-,-,-,-,-,-,-,-,-,-,-,-,DUF1353
281_RNODE_10_length_143244_184,1283076.M1IPE1_9CAUD,1.54E-22,97.1,"4QAJ5@10239|Viruses,4QUS9@35237|dsDNA viruses  no RNA stage,4QPY5@28883|Caudovirales,4QHUT@10662|Myoviridae",10662|Myoviridae,S,Major capsid protein Gp23,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_185,444862.E3SM17_9CAUD,2.36E-21,85.5,"4QCZI@10239|Viruses,4QS4H@28883|Caudovirales,4QIW7@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_186,238854.Q5GQJ1_BPSYP,8.15E-23,93.2,"4QBJ6@10239|Viruses,4QV6F@35237|dsDNA viruses  no RNA stage,4QQXP@28883|Caudovirales,4QK0B@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_189,1493510.A0A0E3HAY9_9CAUD,2.63E-13,74.7,"4QGQK@10239|Viruses,4QT59@28883|Caudovirales,4QK1C@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_10_length_143244_194,1493512.A0A0E3FDH3_9CAUD,2.6E-39,158.0,4QJ6D@10662|Myoviridae,10662|Myoviridae,S,transferase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_1_length_1001_1,391589.RGAI101_4036,2.54E-76,238.0,"COG4608@1|root,COG4608@2|Bacteria,1NU4K@1224|Proteobacteria,2TQTV@28211|Alphaproteobacteria,2P261@2433|Roseobacter",28211|Alphaproteobacteria,P,"COG4608 ABC-type oligopeptide transport system, ATPase component",-,-,-,ko:K02032,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,"ABC_tran,oligo_HPY"
281_RNODE_1_length_1001_2,391589.RGAI101_4036,1.47E-74,233.0,"COG4608@1|root,COG4608@2|Bacteria,1NU4K@1224|Proteobacteria,2TQTV@28211|Alphaproteobacteria,2P261@2433|Roseobacter",28211|Alphaproteobacteria,P,"COG4608 ABC-type oligopeptide transport system, ATPase component",-,-,-,ko:K02032,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,"ABC_tran,oligo_HPY"
281_RNODE_3_length_2264_6,1245814.M4HZJ8_9CAUD,4.81E-15,73.2,"4QGDB@10239|Viruses,4QZHU@35237|dsDNA viruses  no RNA stage,4QSG0@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281_RNODE_8_length_2091_1,314275.MADE_000001022295,2.73E-301,822.0,"COG3344@1|root,COG3344@2|Bacteria,1MVI1@1224|Proteobacteria,1RQP7@1236|Gammaproteobacteria,466C8@72275|Alteromonadaceae",1236|Gammaproteobacteria,L,COG3344 Retron-type reverse transcriptase,-,-,-,-,-,-,-,-,-,-,-,-,"GIIM,RVT_1"
282_RNODE_1_length_1563_2,1313172.YM304_08640,3.27E-230,645.0,"COG4638@1|root,COG4638@2|Bacteria,2GMB2@201174|Actinobacteria",201174|Actinobacteria,P,Rieske 2Fe-2S,-,-,-,-,-,-,-,-,-,-,-,-,"Rieske,Ring_hydroxyl_A"
283_RNODE_12_length_6080_1,981223.AIED01000104_gene736,1.51E-281,769.0,"COG2946@1|root,COG2946@2|Bacteria,1RDKM@1224|Proteobacteria,1S46D@1236|Gammaproteobacteria,3NSUS@468|Moraxellaceae",1236|Gammaproteobacteria,L,"Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology",-,-,-,ko:K07467,-,-,-,-,ko00000,-,-,-,Rep_trans
283_RNODE_12_length_6080_2,40215.BBOS01000131_gene2671,2.58E-66,201.0,"2AZ9K@1|root,31RGQ@2|Bacteria,1QP06@1224|Proteobacteria,1TMP3@1236|Gammaproteobacteria,3NP3D@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
283_RNODE_12_length_6080_9,40373.F991_02089,1.24E-48,155.0,"2A1JK@1|root,30PTH@2|Bacteria,1Q6XZ@1224|Proteobacteria,1TMWH@1236|Gammaproteobacteria,3NPK1@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
283_RNODE_12_length_6080_10,40373.F991_02088,5.3E-40,132.0,"2AZF3@1|root,31RNW@2|Bacteria,1QP68@1224|Proteobacteria,1TMV9@1236|Gammaproteobacteria,3NPGT@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
283_RNODE_3_length_1131_1,1231190.NA8A_12235,1.27E-19,86.3,"COG1309@1|root,COG1309@2|Bacteria,1PH6T@1224|Proteobacteria,2V7Y7@28211|Alphaproteobacteria,43QPG@69277|Phyllobacteriaceae",28211|Alphaproteobacteria,K,"AefR-like transcriptional repressor, C-terminal region",-,-,-,-,-,-,-,-,-,-,-,-,"TetR_C_7,TetR_N"
283_RNODE_3_length_1131_2,316273.XCV2352,2.5E-90,266.0,"COG0599@1|root,COG0599@2|Bacteria",2|Bacteria,S,peroxiredoxin activity,-,-,4.1.1.44,ko:K01607,"ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220",-,R03470,RC00938,"ko00000,ko00001,ko01000",-,-,-,CMD
283_RNODE_5_length_1224_1,1122138.AQUZ01000019_gene8167,4.15E-60,207.0,"COG0683@1|root,COG0683@2|Bacteria,2GM00@201174|Actinobacteria",201174|Actinobacteria,E,PFAM Extracellular ligand-binding receptor,-,-,-,ko:K01999,"ko02010,ko02024,map02010,map02024",M00237,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,-,-,Peripla_BP_6
283_RNODE_6_length_1329_1,234267.Acid_3772,7.73E-18,89.4,"COG2010@1|root,COG2010@2|Bacteria,3Y8CD@57723|Acidobacteria",57723|Acidobacteria,C,Cytochrome c,-,-,-,-,-,-,-,-,-,-,-,-,-
283_RNODE_8_length_1449_1,40373.F991_02974,3.35E-50,178.0,"2EG85@1|root,339ZY@2|Bacteria,1QV52@1224|Proteobacteria,1T28R@1236|Gammaproteobacteria,3NTMC@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
283_RNODE_9_length_2029_1,1265756.AWZW01000008_gene929,7.4E-63,207.0,"COG0768@1|root,COG0768@2|Bacteria",2|Bacteria,M,penicillin binding,-,-,3.2.1.21,"ko:K05349,ko:K13735","ko00460,ko00500,ko00940,ko01100,ko01110,ko05100,map00460,map00500,map00940,map01100,map01110,map05100",-,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040","RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248","ko00000,ko00001,ko01000",-,GH3,-,"IAT_beta,Transgly,Transpeptidase"
284_RNODE_12_length_1001_1,700598.Niako_1649,1.1E-16,75.9,"COG2329@1|root,COG2329@2|Bacteria",2|Bacteria,S,heme oxygenase (decyclizing) activity,-,-,1.14.99.57,ko:K21481,-,-,-,-,"ko00000,ko01000",-,-,-,ABM
284_RNODE_13_length_5187_1,570952.ATVH01000018_gene3172,2.67E-71,226.0,"COG3332@1|root,COG3332@2|Bacteria,1RDBS@1224|Proteobacteria,2TSN7@28211|Alphaproteobacteria,2JPCS@204441|Rhodospirillales",204441|Rhodospirillales,S,Transport and Golgi organisation 2,-,-,-,-,-,-,-,-,-,-,-,-,TANGO2
284_RNODE_13_length_5187_6,86106.I862_00070,3.53E-44,154.0,"COG2518@1|root,COG2518@2|Bacteria,1MXQC@1224|Proteobacteria,2TVCY@28211|Alphaproteobacteria,47F9X@766|Rickettsiales",766|Rickettsiales,O,Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins,pcm,-,2.1.1.77,ko:K00573,-,-,-,-,"ko00000,ko01000",-,-,-,PCMT
284_RNODE_13_length_5187_7,349163.Acry_2680,1.14E-17,77.8,"COG1254@1|root,COG1254@2|Bacteria,1PU46@1224|Proteobacteria,2UF7Z@28211|Alphaproteobacteria,2JTTR@204441|Rhodospirillales",204441|Rhodospirillales,C,Belongs to the acylphosphatase family,acyP,-,3.6.1.7,ko:K01512,"ko00620,ko00627,ko01120,map00620,map00627,map01120",-,"R00317,R01421,R01515",RC00043,"ko00000,ko00001,ko01000",-,-,-,Acylphosphatase
